Title,Year,Summary,Runtime,YouTube Trailer,Rating,Director,Writers,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Cast_1,Cast_2,Cast_3,Keywords,Keywords_str
Forever My Girl,2018,gone decade country star return home love left behind                                                                                                                                                                                                                                                                                                                                                           ,108,3vqcMr1q5Uc,6.4,Bethany Ashton Wolf,Bethany Ashton Wolf,drama,music,romance,,,abby ryder fortson,alex roe,jessica rothe,"['decade', 'gone', 'country', 'star', 'behind']",decade gone country star behind
Tom Segura: Disgraceful,2018,comedian tom segura rant funny thing pop culture way living 2018                                                                                                                                                                                                                                                                                                                                                ,0,kYYINJM3lPA,7.5,Jay Karas,Tom Segura,comedy,documentary,,,,tom segura,,,"['2018', 'funny', 'comedian', 'culture', 'pop']",2018 funny comedian culture pop
The Secret Rules of Modern Living: Algorithms,2015,professor marcus du sautoy demystifies hidden world algorithm reveals 2000yearold problem solver came work achieved                                                                                                                                                                                                                                                                                             ,58,hpyxmT6KSvw,7.5,David Briggs,Marcus du Sautoy,documentary,,,,,,,,"['du', 'achieved', 'came', 'marcus', 'reveals']",du achieved came marcus reveals
Secrets in the Fall,2015,nothing impossible group young camper friend enemy alike weekend retreat camp pinnacle start exciting wilderness adventure turn trouble young camper go missing rest group must set find camper forced overcome difference band together reclaim weekend make wood dark                                                                                                                                         ,0,eMVw1pHVMAw,7.3,Brittany Goodwin,Brittany Goodwin,family,,,,,hollie shay,kyle kupecky,vincent seidle,"['camper', 'weekend', 'pinnacle', 'group', 'alike']",camper weekend pinnacle group alike
Silent Night,2017,adam unexpectedly visit family house christmas year working abroad family member know secret plan real reason visit                                                                                                                                                                                                                                                                                             ,100,cA6BUYVkQoE,7.5,Piotr Domalewski,Piotr Domalewski,comedy,drama,,,,agnieszka suchora,dawid ogrodnik,tomasz zietek,"['visit', 'abroad', 'family', 'unexpectedly', 'reason']",visit abroad family unexpectedly reason
Suicide Squad: Hell to Pay,2018,task force x target powerful mystical object risk life steal                                                                                                                                                                                                                                                                                                                                                    ,86,EPZZvk-wbGE,7.2,Sam Liu,Alan Burnett,action,animation,,,,christian slater,vanessa williams,,"['object', 'mystical', 'task', 'risk', 'steal']",object mystical task risk steal
Wildling,2018,anna spends entire childhood care mysterious man know daddy keep locked attic making fear wildling childeating monster roams outside age 16 anna freed smalltown sheriff ellen cooper help start new life normal teenager anna body begin blossom childhood nightmare return vengeance leading conclusion terrifying secret                                                                                     ,92,eyl1Wf90AgY,6.1,Fritz Böhm,Fritz Böhm,fantasy,horror,,,,bel powley,brad dourif,liv tyler,"['anna', 'childhood', 'daddy', 'roams', 'ellen']",anna childhood daddy roams ellen
The Humanity Bureau,2017,dystopian thriller set year 2030 see world permanent state economic recession facing serious environmental problem result global warming                                                                                                                                                                                                                                                                        ,95,kUH8JGhRzPY,6.1,Rob W. King,Dave Schultz,action,sci-fi,,,,jakob davies,nicolas cage,sarah lind,"['permanent', 'environmental', 'recession', 'dystopian', 'economic']",permanent environmental recession dystopian economic
Farewell Ferris Wheel,2016,farewell ferris wheel examines link america carnival industry small mexican town legally provides one third carnival labor however increased regulation compromising longstanding connection putting industry worker jeopardy                                                                                                                                                                                   ,72,-K2m6AKNB-g,7.4,Miguel 'M.i.G.' Martinez,Miguel 'M.i.G.' Martinez,documentary,drama,news,,,,,,"['carnival', 'industry', 'compromising', 'regulation', 'ferris']",carnival industry compromising regulation ferris
Don't Talk to Irene,2017,irene must endure 2 week community service retirement home following passion cheerleading secretly sign senior resident audition dancethemed reality show prove dont need physically perfect perfectly awesome                                                                                                                                                                                                  ,90,lK48UxWuUho,6.4,Pat Mills,Pat Mills,comedy,,,,,anastasia phillips,bruce gray,michelle mcleod,"['perfectly', 'awesome', 'irene', 'endure', 'audition']",perfectly awesome irene endure audition
Blood Road,2017,mystery surrounding father death vietnam war lead ultraendurance mountain biker rebecca rusch emotional journey pedal 1200 mile ho chi minh trail                                                                                                                                                                                                                                                               ,96,XCzVqiN950M,6.9,Nicholas Schrunk,Mark Anders,documentary,history,sport,,,huyen nguyen,ian adamson,rebecca rusch,"['pedal', 'chi', '1200', 'biker', 'rebecca']",pedal chi 1200 biker rebecca
Andre the Giant,2018,look life career professional wrestler andré roussimoff gained notoriety 1980s andre giant                                                                                                                                                                                                                                                                                                                      ,85,f_jTeuajas0,8.2,Jason Hehir,Robin Wright,documentary,,,,,cary elwes,,,"['notoriety', 'wrestler', 'gained', '1980s', 'giant']",notoriety wrestler gained 1980s giant
Dead on Arrival,2017,pharmaceutical sale rep visit small town louisiana business find dark world corruption murder 24 hour live running police mob sheriff want dead                                                                                                                                                                                                                                                                 ,97,8jJ-kC-rq0Q,6.9,Stephen C. Sepher,Stephen C. Sepher,thriller,,,,,christa b. allen,d.b. sweeney,scottie thompson,"['louisiana', 'rep', 'pharmaceutical', '24', 'sale']",louisiana rep pharmaceutical 24 sale
Big Time,2017,bjarke ingels started young man dreaming creating cartoon named one architecture biggest innovator wall street journal one 100 influential people planet time magazine big time follows bjarke course 7 year 20092016 struggle finish biggest project far let bjarkes creative process well endless compromise work entail side personal life start putting pressure addition recently opened architectural marv,93,VK0mGdMKMW4,6.2,Kaspar Astrup Schröder,Bjarke Ingels,documentary,,,,,elisabet ingels,,,"['bjarke', 'biggest', 'entail', 'marv', 'compromise']",bjarke biggest entail marv compromise
Adventures in Babysitting,2016,two teen rival babysitter jenny lola team hunt one kid accidentally run away big city without supervision                                                                                                                                                                                                                                                                                                       ,105,BbTTXUMVTTU,6.1,John Schultz,Tiffany Paulsen,adventure,comedy,family,,,nikki hahn,sabrina carpenter,sofia carson,"['lola', 'babysitter', 'jenny', 'rival', 'teen']",lola babysitter jenny rival teen
Banana in a Nutshell,2005,intimate portrait chineseeuropean couple new zealand journey get blessing marriage traditional chinese parent                                                                                                                                                                                                                                                                                                   ,0,6vgD78Z6ut4,6.6,Roseanne Liang,Roseanne Liang,documentary,,,,,,,,"['blessing', 'zealand', 'traditional', 'intimate', 'portrait']",blessing zealand traditional intimate portrait
Hostiles,2017,1892 nearly two decade fighting cheyenne apache comanche native united state cavalry captain war hero joseph blocker ordered escort ailing cheyenne chief yellow hawkhis despised enemyto ancestral home montana valley bear nauseated baleful anger joseph unwelcome final assignment feral american landscape complicated widowed settler rosalie quaid taken band soldier aggressive pack marauding comanche ,134,1M5cj4UmscE,7.3,Scott Cooper,Scott Cooper,adventure,drama,western,,,ava cooper,rosamund pike,scott shepherd,"['comanche', 'cheyenne', 'joseph', 'blocker', 'rosalie']",comanche cheyenne joseph blocker rosalie
Maze Runner: The Death Cure,2018,epic finale maze runner saga thomas lead group escaped gladers final dangerous mission yet save friend must break legendary last city wckd controlled labyrinth may turn deadliest maze anyone make alive get answer question gladers asking since first arrived maze thomas crew make alive ava paige get way                                                                                                  ,141,wnE_y4vN9nQ,6.5,Wes Ball,T.S. Nowlin,action,sci-fi,thriller,,,dylan o'brien,kaya scodelario,ki hong lee,"['maze', 'gladers', 'thomas', 'alive', 'paige']",maze gladers thomas alive paige
Den of Thieves,2018,gritty la crime saga follows intersecting often personally connected life elite unit la county sheriff dept state successful bank robbery crew outlaw plan seemingly impossible heist federal reserve bank downtown los angeles                                                                                                                                                                                 ,140,FKd_ks0rdAM,7.0,Christian Gudegast,Christian Gudegast,action,crime,drama,mystery,thriller,gerard butler,pablo schreiber,,"['bank', 'la', 'intersecting', 'personally', 'downtown']",bank la intersecting personally downtown
V.I.P.,2017,son lee jongsuk highranking north korean official suspected committing serial murder around world stop killer south korea north korea interpol chase                                                                                                                                                                                                                                                            ,128,dwRkl2BjtGQ,6.4,Hoon-jung Park,Hoon-jung Park,action,crime,thriller,,,dong-gun jang,jong-suk lee,myung-min kim,"['korea', 'north', 'interpol', 'committing', 'suspected']",korea north interpol committing suspected
Walk Hard: The Dewey Cox Story,2007,upanddownandupagain story musician dewey cox whose song would change nation rock n roll spiral cox sleep 411 woman marries three time 36 kid star 70 tv show collect friend ranging elvis beatles chimp get addicted kick every drug known man despite cox grows national icon eventually earns love good woman longtime backup singer darlene                                                                  ,96,4yzjtnj8Y3U,6.8,Jake Kasdan,Judd Apatow,comedy,music,,,,david krumholtz,jenna fischer,john c. reilly,"['cox', '36', 'beatles', 'elvis', 'dewey']",cox 36 beatles elvis dewey
Freaky Friday,2003,wide generation gap te coleman teenage daughter anna evident simply cannot understand others preference thursday night big argument chinese restaurant receive fortune cookie restaurant owner mother cause switch body next day adjust new personality begin understand eventually mutual selfrespect sort thing                                                                                               ,97,obOyYTto5Sg,6.2,Mark Waters,Mary Rodgers,comedy,family,fantasy,music,romance,jamie lee curtis,lindsay lohan,,"['restaurant', 'understand', 'thursday', 'coleman', 'preference']",restaurant understand thursday coleman preference
Perfect Strangers,2017,night happens blood red moon longtime friend reunite dinner group formed plastic surgeon alfonso wife psychologist eva host dinner lawyer antonio wife ana taxi driver eduardo young recent wife veterinary blanca finally pepe former gym teacher actually unemployed surprisingly appears without lucía recent girlfriend motivated blanca suspect group behavior proposes game diner leave cell phone table c,97,-lOUnBsjGuY,7.0,Álex de la Iglesia,Álex de la Iglesia,comedy,,,,,belén rueda,eduard fernández,,"['blanca', 'recent', 'dinner', 'wife', 'pepe']",blanca recent dinner wife pepe
Paterno,2018,film center joe paterno becoming winningest coach college football history embroiled penn state jerry sandusky sexual abuse scandal challenging legacy forcing face question institutional failure regarding victim                                                                                                                                                                                             ,105,scI7dYdlzuY,6.6,Barry Levinson,Debora Cahn,biography,drama,,,,al pacino,kathy baker,kenneth maharaj,"['regarding', 'penn', 'challenging', 'embroiled', 'jerry']",regarding penn challenging embroiled jerry
Shirley: Visions of Reality,2013,13 edward hopper painting brought alive film telling story woman whose thought emotion contemplation let u observe era american history shirley woman america 1930s 40 50 early 60 woman would like influence course history professional socio political involvement                                                                                                                                           ,92,rcQ4JKxxukY,6.5,Gustav Deutsch,Gustav Deutsch,documentary,,,,,christoph bach,florentín groll,stephanie cumming,"['woman', 'history', 'shirley', 'hopper', 'observe']",woman history shirley hopper observe
5 Centimeters Per Second,2007,takaki akari two classmate elementary school time together become close friend relationship tested akari move another city parent job struggle keep friendship alive time distance slowly pull apart takaki find moving away decides visit akari one last time                                                                                                                                                  ,63,SzAO_NeCmkM,7.7,Makoto Shinkai,Makoto Shinkai,animation,drama,romance,,,kenji mizuhashi,yoshimi kondou,,"['akari', 'time', 'distance', 'tested', 'classmate']",akari time distance tested classmate
Faces Places,2017,agnes varda one leading light france honored french new wave cinema era professional photographer muralist jr partake special art project together travel around france special box truck equipped portable photo booth traveling printing facility take photograph people around country inspiration also create special colossal mural picture individual community place want honor celebrate along way old c,89,2rKZcAiLHlY,8.0,JR,JR,documentary,,,,,agnès varda,jeannine carpentier,jr,"['special', 'france', 'around', 'partake', 'colossal']",special france around partake colossal
The Post,2017,american military analyst daniel ellsberg realizes disgust depth u government deception futility vietnam war take action copying topsecret document would become pentagon paper later washington post owner kay graham still adjusting taking late husband business editor ben bradlee discovers new york time scooped explosive expose paper determined compete post reporter find ellsberg complete copy paper,116,nrXlY6gzTTM,7.2,Steven Spielberg,Liz Hannah,biography,drama,history,thriller,,meryl streep,sarah paulson,tom hanks,"['paper', 'post', 'adjusting', 'disgust', 'copy']",paper post adjusting disgust copy
The Anthem of the Heart,2017,takumi class community outreach group teacher assigns student group including student due mishap foregone speaking class perform musical volunteer brave enough perform hard come reluctance slowly begin wash away aforementioned girl make effort perform day performance approach student able overcome reluctance go                                                                                        ,119,EnbgMjdguxI,6.2,Naoto Kumazawa,Yukiko Manabe,drama,family,,,,anna ishii,tsunaki fukushima,yoshiyoshi arakawa,"['perform', 'reluctance', 'student', 'class', 'group']",perform reluctance student class group
My Teacher,2017,hibiki awkward 17yearold high school sophomore hasnt known romance shes fall love first time man isnt great word compassionate student history teacher mr ito okay fall hibiki asks im afraid cant return feeling itos reply hibikis first love crash takeoff doesnt matter still want cherish crush anyway teacher heart begin turn student pure love                                                          ,113,HpYqkdn2ilU,6.0,Takahiro Miki,Kazune Kawahara,drama,romance,,,,manami higa,suzu hirose,tôma ikuta,"['teacher', 'love', 'student', 'fall', 'compassionate']",teacher love student fall compassionate
You Were Never Really Here,2017,balancing feverish dreamlike hallucination tormented past grim disoriented reality grizzled joea traumatised gulf war veteran unflinching hired gun life frail elderly motherhas finished successfully yet another job infernal reputation brutal man result specialised recovering missing teen enforcer embark blooddrenched rescue mission nina innocent 13yearold daughter ambitious new york senator never ,89,yMqsd7Umxy8,7.1,Lynne Ramsay,Lynne Ramsay,drama,mystery,thriller,,,ekaterina samsonov,joaquin phoenix,judith roberts,"['traumatised', 'blooddrenched', 'infernal', 'frail', 'hallucination']",traumatised blooddrenched infernal frail hallucination
Petals on the Wind,2014,decade cathy christopher carrie escaped grandparent attic foxworth hall petal wind continues follow twisted plight family attempt put sordid past behind soon discover certain secret cant left behind cathy find abusive relationship fellow dancer julian christopher cathy forced face forbidden feeling developed one another coming age captivity tragedy strike dollangangers cathy return foxworth hall c,85,X8b86Bgrk0w,6.3,Karen Moncrieff,Virginia C. Andrews,drama,horror,romance,thriller,,heather graham,rose mciver,wyatt nash,"['cathy', 'christopher', 'hall', 'behind', 'plight']",cathy christopher hall behind plight
Jesus Christ Superstar Live in Concert,2018,live musical recounting final day jesus christ around                                                                                                                                                                                                                                                                                                                                                           ,99,mPbb4BDirHA,8.0,David Leveaux,Tim Rice,musical,,,,,alice cooper,ben daniels,sara bareilles,"['christ', 'recounting', 'jesus', 'musical', 'final']",christ recounting jesus musical final
Dare to Be Wild,2015,irishwoman mary reynolds journey rank outsider winner gold medal chelsea flower show                                                                                                                                                                                                                                                                                                                            ,100,12lF4c06yEY,6.4,Vivienne De Courcy,Vivienne De Courcy,biography,drama,romance,,,alex macqueen,emma greenwell,tom hughes,"['chelsea', 'reynolds', 'medal', 'flower', 'rank']",chelsea reynolds medal flower rank
Being Julia,2004,1938 julia lambert michael gosselyn royal couple london theater scene julia actress michael former actor took running theater troupe upon passing mentor jimmie langton jimmie still constantly julia spirit navigates life besides work julia michael lead largely separate life long ago stopped sexual relationship julia late feeling disenchanted life wanting admit approaching middle age disenchantment ,104,quzIsJq7t08,7.0,István Szabó,W. Somerset Maugham,comedy,drama,romance,,,annette bening,maury chaykin,michael gambon,"['julia', 'jimmie', 'michael', 'theater', 'langton']",julia jimmie michael theater langton
Trouble Is My Business,2018,los angeles 1947 everything sunny smog creates fog haze permeates lung psyche private eye roland drake crack case romance femme fatales corrupt cop rule underworld city moral line anything black white dark hardboiled tale love betrayal told classic style film noir drake fallen hard time harsh world evicted office disgraced missing person case ruined public eye police seems like roland drake redemp,116,SqUEOsQf6hM,6.1,Tom Konkle,Tom Konkle,action,adventure,crime,mystery,thriller,brittney powell,tom konkle,vernon wells,"['drake', 'roland', 'case', 'eye', 'lung']",drake roland case eye lung
Outside In,2017,excon struggling readjust life small town form intense bond former high school teacher                                                                                                                                                                                                                                                                                                                          ,109,s0SdJfplC80,6.4,Lynn Shelton,Lynn Shelton,drama,,,,,edie falco,jay duplass,kaitlyn dever,"['excon', 'intense', 'bond', 'struggling', 'teacher']",excon intense bond struggling teacher
Froning: The Fittest Man in History,2015,rich froning jr legend crossfit sport fitness biopic take look childhood follow quest fourth crossfit game title see son husband new father                                                                                                                                                                                                                                                                     ,99,D1ze-f7jS2A,6.7,Heber Cannon,Heber Cannon,documentary,,,,,dan bailey,rich froning,,"['crossfit', 'biopic', 'fitness', 'fourth', 'jr']",crossfit biopic fitness fourth jr
Elizabethtown,2005,causing loss almost one billion dollar company shoe designer drew baylor decides commit suicide however exact moment act despair receives phone call sister telling beloved father died elizabethtown bring back since mother problem relative father travel empty red eye flight meet attendant claire colburn change view perspective life                                                                    ,123,qyPq2BS8Ug0,6.4,Cameron Crowe,Cameron Crowe,comedy,drama,romance,,,kirsten dunst,orlando bloom,susan sarandon,"['drew', 'attendant', 'despair', 'designer', 'father']",drew attendant despair designer father
The Other Side of Heaven,2001,john h groberg middle class kid idaho fall cross pacific become mormon missionary remote exotic tongan island kingdom 1950s leaf behind loving family true love life jean letter musing across mile john share humbling sometimes hilarious adventure girl back home letter buoy spirit difficult time john must struggle overcome language barrier physical hardship deeprooted suspicion earn trust love tonga,113,5dKsHYzIoUI,6.5,Mitch Davis,Mitch Davis,adventure,biography,drama,,,anne hathaway,christopher gorham,joe folau,"['john', 'letter', 'mormon', 'barrier', 'missionary']",john letter mormon barrier missionary
Sons of Ben,2016,many rumor ml team arriving philadelphia never materializing small group soccer fan took matter hand started supporter group called son ben help bring team hometown group without team root modest goal reaching 100 member end year little know would reach 1500 member le time start movement would change soccer landscape philadelphia forever also help revive community struggling decade                ,75,m8I_pgCaRsM,7.8,Jeffrey C. Bell,Jeffrey C. Bell,biography,documentary,sport,,,corey furlan,don garber,wendell n. butler,"['philadelphia', 'soccer', 'group', 'team', 'member']",philadelphia soccer group team member
12 Strong,2018,true story army special force green beret within week responded 911 attack green beret help 160th soara took country allowed special force rest conventional military begin publicly visible war                                                                                                                                                                                                                ,130,-Denciie5oA,6.7,Nicolai Fuglsig,Ted Tally,action,drama,history,war,,chris hemsworth,michael shannon,,"['beret', 'green', 'special', 'force', 'conventional']",beret green special force conventional
The Commuter,2018,hardworking life insurance salesman caring family man former police officer michael maccauley taken commuter rail new york past ten year unexpectedly thing take turn worse one daily journey cryptic passenger joanna make michael generous tempting offer locate single commuter face grave consequence sick joke indeed serious situation michael race clock solve wicked conundrum everyone aboard suspect d,105,WWexI9YiLSc,6.3,Jaume Collet-Serra,Byron Willinger,action,crime,drama,mystery,thriller,liam neeson,vera farmiga,,"['commuter', 'michael', 'tempting', 'sick', 'joanna']",commuter michael tempting sick joanna
Birdshot,2016,birdshot mysterythriller film tell story young filipina farm girl wanders boundary philippine reservation forest deep within reservation mistakenly shoot kill critically endangered protected philippine eagle local authority begin manhunt track poacher national bird investigation lead even horrific discovery                                                                                            ,116,7k8h_X3GjgM,6.8,Mikhail Red,Mikhail Red,drama,mystery,thriller,,,arnold reyes,john arcilla,mary joy apostol,"['philippine', 'reservation', 'endangered', 'critically', 'wanders']",philippine reservation endangered critically wanders
May,2002,may child lonely girl lazy eye without friend except weird ugly doll kept glass case given bizarre mother birthday may becomes lonely weird young woman working animal hospital assisting veterinarian surgery sewing operated animal time lesbian colleague polly sort attraction shy may meet mechanic adam stubbs love hand crush date weirdness bizarre behavior may push adam away alone may brief affair p,93,YbN_uoGQysc,6.7,Lucky McKee,Lucky McKee,drama,horror,,,,angela bettis,anna faris,jeremy sisto,"['may', 'weird', 'bizarre', 'adam', 'lonely']",may weird bizarre adam lonely
The China Hustle,2017,unsettling eyeopening wall street horror story chinese company american stock market opportunistic greed behind biggest heist youve never heard                                                                                                                                                                                                                                                                 ,82,55892jT06aI,6.8,Jed Rothstein,Jed Rothstein,documentary,,,,,carson block,dan david,matthew wiechert,"['opportunistic', 'youve', 'heard', 'unsettling', 'stock']",opportunistic youve heard unsettling stock
The Lost Brother,2017,cetarti public employee fired travel buenos aire lapachito lonely town chaco province must take care corps mother brother brutally murdered bond affection bind thing mobilizes cetarti undertake trip possibility charging modest life insurance able settle brazil meet duarte sort town capo friend mother murderer establishes strange society manage collect money                                         ,112,1DNXCdWZuHs,6.7,Israel Adrián Caetano,Israel Adrián Caetano,crime,drama,thriller,,,daniel hendler,leonardo sbaraglia,,"['town', 'aire', 'buenos', 'province', 'establishes']",town aire buenos province establishes
The Redeemed and the Dominant: Fittest on Earth,2018,2017 fittest athlete earth took unknown unknowable four intense day competition crossfit game history redeemed dominant fittest earth capture drama top athlete resembling chiseled grecian god descend madison wisconsin face series trial hercules faced 12 take 13 emotion run high throng australian athlete rise top end competition learn tough lessonsthat glitter isnt gold even bronzeand learn theyre ,119,rlZ5MG-E2Ls,7.1,Heber Cannon,Heber Cannon,documentary,,,,,dave castro,justin bergh,,"['athlete', 'competition', 'top', 'learn', 'earth']",athlete competition top learn earth
First Match,2018,hardened year foster care teenage girl brooklyn brownsville neighborhood decides joining boy wrestling team way back estranged father                                                                                                                                                                                                                                                                           ,102,Xva2FWNdcD0,6.1,Olivia Newman,Olivia Newman,drama,sport,,,,colman domingo,elvire emanuelle,yahya abdul-mateen ii,"['wrestling', 'hardened', 'joining', 'brooklyn', 'foster']",wrestling hardened joining brooklyn foster
Re: Born,2016,legend covert soldier mysterious past decides unleash beast inside stand care                                                                                                                                                                                                                                                                                                                                   ,115,uxM6vsMNwXs,6.0,Yûji Shimomura,Tak Sakaguchi,action,crime,drama,war,,takumi saitoh,,,"['unleash', 'beast', 'covert', 'legend', 'stand']",unleash beast covert legend stand
A Moving Romance,2017,interior designer olivia wilson loses job new york newfound time hand decides head home california surprise dad neil 25th anniversary family business wilson family mover upon arrival meet newest member wilson team scott business coming halt scott work together get thing back track two begin form bond olivia faced difficult decision worthwhile job opportunity pop back new york                      ,90,,6.1,W.D. Hogan,Alex Greenfield,family,,,,,ambyr childers,keegan allen,,"['wilson', 'olivia', 'scott', 'business', 'york']",wilson olivia scott business york
Happy End,2017,gradually succumbing dementia george laurent octogenarian patriarch laurents affluent upperbourgeois family uncomfortably sharing palatial manor calais heart infamous migrant jungle twicemarried son thomas anne workaholic daughter taken family construction business divorced frigid anne handle impact disastrous workplace accident caused disappointing son pierre negligence time urgent hospitalisatio,107,cZ1ajZRn8YM,6.9,Michael Haneke,Michael Haneke,drama,,,,,isabelle huppert,jean-louis trintignant,mathieu kassovitz,"['anne', 'octogenarian', 'laurent', 'pierre', 'frigid']",anne octogenarian laurent pierre frigid
After the Storm,2016,dwelling past glory prizewinning author ryota hiroshi abe waste money make private detective gambling barely pay child support death father aging mother kirin kiki beautiful exwife yoko make seem moving life renewing contact initially distrusting family ryota struggle take back control existence find lasting place life young son taiyo yoshizawa stormy summer night offer chance truly bond          ,118,i0lr6hfRG9s,7.4,Hirokazu Koreeda,Hirokazu Koreeda,comedy,drama,,,,hiroshi abe,satomi kobayashi,yôko maki,"['ryota', 'kiki', 'prizewinning', 'abe', 'lasting']",ryota kiki prizewinning abe lasting
Mary and the Witch's Flower,2017,mary ordinary young girl stuck country greataunt charlotte seemingly adventure friend sight follows mysterious cat nearby forest discovers old broomstick strange flybynight flower rare plant blossom every seven year forest together flower broomstick whisk mary cloud far away endor college school magic run headmistress madam mumblechook brilliant doctor dee terrible thing happening school mary tell,102,888z3ku4t3I,6.8,Hiromasa Yonebayashi,Mary Stewart,adventure,animation,family,fantasy,,hana sugisaki,ryûnosuke kamiki,,"['broomstick', 'mary', 'flower', 'forest', 'dee']",broomstick mary flower forest dee
The Last Movie Star,2017,aging former movie star forced face reality glory day behind surface film tale faded fame core universal story growing old                                                                                                                                                                                                                                                                                      ,94,1-f8O118hnE,6.8,Adam Rifkin,Adam Rifkin,drama,,,,,ariel winter,burt reynolds,clark duke,"['faded', 'universal', 'core', 'surface', 'glory']",faded universal core surface glory
